keys,en,vi
SETTINGS_TITLE,Settings,Cài đặt
SETTINGS_MUSIC,Music,Nhạc
SETTINGS_SOUND,Sound,Âm thanh
SETTINGS_FPS,FPS,FPS
SETTINGS_FPS_LOW,LOW,THẤP
SETTINGS_FPS_MEDIUM,MEDIUM,TRUNG BÌNH
SETTINGS_FPS_HIGH,HIGH,CAO
SETTINGS_SIGN_OUT,Sign out,Đăng xuất
SETTINGS_LANGUAGE,Language,Ngôn ngữ
SETTINGS_CONTINUE,Continue,Tiếp tục
SETTINGS_LEAVE,Leave,Rời trận
COMMON_OK,OK,OK
COMMON_CANCEL,Cancel,Hủy
COMMON_BUY,Buy,Mua
COMMON_CONFIRM,Confirm,Xác nhận
COMMON_BACK,Lobby,Sảnh chờ
COMMON_OWNED,Owned,Đã sở hữu
COMMON_NEW,NEW!,MỚI!
COMMON_UNKNOWN,Unknown,Không rõ
COMMON_DASH,--,--
COMMON_HELP,Help,Trợ giúp
PROFILE_TAB_ACHIEVEMENT,Achievement,Thành tích
LOGIN_GOOGLE,GOOGLE,GOOGLE
LOGIN_GUEST,GUEST,KHÁCH
LOGIN_SIGN_OUT,Sign Out,Đăng xuất
LOGIN_TOOLTIP_GOOGLE,Google,Google
LOGIN_TOOLTIP_GUEST,Guest,Khách
LOGIN_NO_PLUGIN,No plugin installed,Chưa cài plugin
LOGIN_VERIFYING,Verifying session...,Đang kiểm tra phiên...
LOGIN_SESSION_EXPIRED,Session expired. Please sign in again.,Phiên đã hết hạn. Vui lòng đăng nhập lại.
LOGIN_SESSION_VERIFY_FAIL_PREFIX,"Could not verify session: ","Không thể xác thực phiên: "
LOGIN_SESSION_VERIFY_FAIL_SUFFIX,. Please try again.,. Vui lòng thử lại.
LOGIN_SIGNING_IN,Signing in...,Đang đăng nhập...
LOGIN_SUCCESS_PREFIX,"Logged in! Player ID: ","Đăng nhập thành công! ID: "
LOGIN_ERR_PREFIX,"Error: ","Lỗi: "
LOGIN_SIGNIN_FAIL_PREFIX,"Sign-in failed: ","Đăng nhập thất bại: "
LOGIN_SIGNED_OUT,Signed out,Đã đăng xuất
NOTIF_TITLE,Notification,Thông báo
NOTIF_PURCHASE_SUCCESS,Purchase Successful!,Mua thành công!
NOTIF_PURCHASE_BODY_FMT,You bought a %s,Bạn đã mua %s
NOTIF_REWARD_CLAIMED,Reward Claimed!,Đã nhận thưởng!
NOTIF_REWARD_BODY_FMT,"%s\n+%d %s","%s\n+%d %s"
NOTIF_ERROR,Error,Lỗi
